p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
34.6888;80.6716;82.584;114.8083;54.1009;237.2079;84.6814;99.7591;69.8069;82.9032;35.055;85.5026;83.5081;51.5737;83.067;155.9638;0.1186;56.2507;410.5782;103.5076;66.1102;133.895;9.7709;2.3873;127.5779;146.8212;144.7307;25.7691;74.1365;276.7388;12.5955;21.5411;84.2697;61.8729;173.7149;83.0664
34.2821;78.5284;82.2329;63.8216;52.8617;131.6347;82.3512;43.9157;83.3717;81.7024;69.1795;38.2784;82.3283;51.5949;84.6935;150.9815;0.1183;97.2035;5.6568;44.8562;61.9057;145.0125;23.1166;2.9452;200.4407;87.7819;120.4491;14.8469;73.3121;270.5118;33.3151;14.746;82.9884;34.3599;75.1413;81.9661
21.7806;78.3613;83.817;63.1087;55.2508;189.8471;81.1876;94.1083;115.3155;0.0;14.0816;41.3285;83.0794;52.1126;83.2851;100.8925;194.5968;113.7428;4.0576;103.6131;64.177;97.1095;9.4384;11.6443;209.7499;86.3971;129.5977;68.0089;75.5651;105.9014;50.4075;11.2162;84.3459;41.9658;164.4705;80.6726
31.8671;79.2205;82.2373;55.1557;53.7836;248.348;83.9151;97.0948;92.054;82.6827;6.7511;135.4524;82.7123;50.5611;83.3054;144.8883;0.1188;104.0465;349.1076;98.3749;62.7831;182.8086;14.6826;297.4286;217.3413;92.398;121.1859;55.6029;74.0597;20.7149;46.3486;19.7499;80.8144;44.6649;165.611;80.1416
33.3455;79.8805;82.7651;78.7193;54.3993;168.4328;82.0373;35.6954;78.2575;82.9058;20.8317;154.8921;83.5462;52.4453;81.6199;48.2096;0.1193;156.4447;1.6538;103.7739;60.0258;38.8892;13.0473;1.8501;10.1754;157.8928;94.408;56.8162;75.7346;199.7578;49.0149;13.808;83.9537;54.641;102.7029;84.1593
13.3328;77.8408;82.4079;114.9985;21.9658;122.6166;82.1511;41.4583;79.8159;83.5315;26.3995;140.1807;83.6508;52.962;82.9494;148.2042;50.1176;158.2204;7.3755;126.5368;60.7876;135.3269;28.0984;10.7547;164.4276;78.4848;121.6746;75.4984;74.9404;91.32;13.2578;23.5711;79.7881;36.8332;80.4049;82.9797
29.5381;79.6308;83.9512;54.5879;54.1991;134.9094;78.6981;37.1716;93.7075;83.9664;37.6499;43.0483;83.5215;52.5503;75.8432;150.7504;0.1178;7.9966;4.9372;105.9347;61.027;139.5718;34.9822;160.5703;103.9105;24.6791;140.7928;31.9027;73.5811;185.9221;14.2802;15.1614;83.5595;49.714;66.4959;83.5415
30.3091;79.472;84.0482;91.3738;56.9219;173.2063;82.1236;121.0795;213.5181;84.017;68.6467;148.943;82.497;58.4253;73.6562;101.3006;0.1175;5.931;56.7303;52.8405;64.615;132.3736;23.3834;356.9545;123.6969;51.9881;74.4494;64.8202;75.8326;250.7179;8.2318;17.8522;82.3301;48.1194;55.9587;81.8322
22.3398;78.4885;82.3411;110.1461;34.1416;176.6319;82.4442;47.964;84.2639;82.0701;39.0739;150.2328;83.8931;51.5874;84.1858;109.0065;0.1179;101.9097;2.2334;160.3251;61.075;93.499;10.3052;231.9692;171.5287;70.4673;127.6572;0.3536;74.8392;319.0579;6.0488;35.7849;84.6615;40.6236;105.2726;81.6885
34.2481;77.0128;81.667;152.1694;50.3252;193.6413;80.9484;101.05;77.6522;83.2059;70.381;191.8772;81.7578;52.7688;82.1449;152.8402;0.0868;99.8111;52.8673;201.5747;61.9033;140.2809;17.1706;3.6033;100.9701;44.3434;80.5197;6.6844;75.7316;220.9039;7.0218;9.618;85.1358;53.5364;68.1663;80.7019
33.6656;80.7927;83.3324;112.4107;53.535;228.1586;83.1447;45.2305;114.7182;83.3657;57.6801;146.4617;82.2154;51.6997;82.4375;157.4144;46.6859;0.3994;332.7511;87.1739;59.4751;138.0705;17.8763;7.714;155.0343;75.1978;128.4044;87.2194;74.5389;1.1741;67.3105;15.377;84.3756;48.7439;118.1709;84.5165
32.5615;80.4179;81.6033;67.1047;33.5949;232.0087;79.6126;85.3129;69.5702;83.3996;59.5628;146.6157;85.0823;69.6642;81.193;99.762;50.1187;103.5206;49.1299;50.254;64.2793;129.0477;21.7398;296.1136;226.9218;61.3041;136.0008;60.1541;75.7885;116.4746;20.6753;14.4842;80.2273;39.7785;63.0851;77.7754
32.4063;79.1861;84.2199;93.5704;72.1576;196.703;83.8325;144.1962;2.464;82.1149;66.979;145.8974;83.4422;8.6051;81.9278;144.944;0.1181;150.0274;407.4548;107.9196;56.4728;134.7751;11.8497;3.1312;5.6414;79.0023;180.4324;62.5602;76.6663;213.9131;25.2314;15.8874;84.7736;35.7877;119.23;82.685
37.2371;80.3671;82.4851;100.1419;53.9016;243.7272;83.0237;61.5286;167.8859;81.2752;39.7318;141.1382;83.0615;66.653;83.2376;157.4926;46.8263;152.3647;86.5541;160.2896;65.1512;128.9311;15.962;7.629;3.452;160.3205;121.9993;61.131;46.9114;19.258;31.2817;15.663;86.3064;24.5443;98.4875;80.7649
33.6004;79.9466;82.1418;58.6258;6.5659;235.0197;82.3677;39.8161;161.157;82.8686;19.6984;36.967;81.6977;54.2219;82.3608;154.0983;0.1178;113.6412;391.867;101.3044;63.4372;144.2112;11.3362;3.5968;16.1902;71.5446;77.4255;132.6009;75.4298;174.5906;13.6002;4.3926;83.6376;46.463;66.2301;82.1918
28.709;78.0081;82.6103;95.4546;49.9725;232.6657;79.9755;42.684;108.958;82.8766;19.0785;151.1882;83.8387;63.8964;81.4421;94.8049;0.1189;51.974;52.1024;135.3732;48.1778;135.8753;35.9785;356.4789;130.9108;101.2895;179.4195;30.5263;74.425;97.4254;38.4697;19.2779;80.1708;48.462;74.5214;82.0498
66.6157;79.1596;83.4596;6.0582;43.7831;71.8834;83.5554;48.4479;158.7718;82.5553;40.5193;144.5151;81.1961;6.9133;81.3075;71.288;7.7464;83.9089;153.3592;78.5989;8.2296;36.8133;11.4931;111.8659;99.3142;111.0267;48.8304;151.3294;83.0217;104.3368;51.6201;23.1259;81.2422;16.6477;197.1228;83.4956
40.3758;80.8873;80.527;50.0;47.054;143.6429;82.9858;40.4944;14.0009;82.0683;52.309;192.6411;84.6183;22.2346;84.6706;116.983;54.368;32.131;121.9028;97.9582;0.0;38.5242;9.7908;210.3045;64.4071;103.1984;48.3981;52.57;83.8501;200.1759;54.4447;12.5327;82.9082;24.5014;143.5544;84.8305
46.1382;78.8546;83.6067;48.8743;0.9348;179.1125;82.8826;74.8687;270.5516;83.71;62.2879;146.0666;82.6525;17.4429;82.0277;67.8779;13.2103;36.2638;156.0588;109.2257;19.9967;91.1681;8.7275;157.5341;58.7267;112.8775;102.6267;156.6568;82.6779;66.772;36.348;19.1001;81.3339;23.5005;49.8348;75.0462
25.3594;81.3744;83.0983;89.8004;47.4345;127.3508;83.2072;77.4365;165.9273;79.6133;66.242;209.6698;81.2209;4.5004;80.1501;60.6851;25.0187;57.5402;198.1002;54.1464;44.2536;39.5557;22.3548;210.6465;108.697;95.9055;92.6019;53.9459;83.7987;206.5343;47.695;15.5516;80.882;13.4074;69.2611;82.9532
67.2389;79.2275;83.6118;50.1682;46.8946;119.1739;83.7684;50.3886;3.7708;82.7399;68.1019;85.613;82.1793;26.739;83.3591;66.0805;130.9006;64.1734;20.9121;47.5505;34.4937;45.7844;21.1385;101.0267;153.5789;52.1283;155.5106;151.9689;83.2253;151.159;53.7429;2.5928;82.9532;13.8398;109.151;82.0764
55.8601;81.2594;83.1326;46.4566;49.7687;148.0448;82.1978;80.6109;223.71;82.6407;62.3024;68.4181;84.6329;20.3092;84.5098;60.4624;22.9048;66.8093;207.8392;49.1395;32.6605;67.241;15.9306;145.9017;63.1674;114.2011;56.8732;148.2773;84.3791;148.9674;11.676;14.0265;83.2077;18.3337;63.2681;81.332
49.0589;78.7906;84.3588;56.0391;5.5492;123.304;83.6432;95.4024;167.9201;79.5267;61.8538;128.9716;79.8734;13.3513;82.9293;41.2902;21.4229;62.3643;53.4363;110.4307;51.0019;76.6328;13.1203;160.9257;66.0345;115.0666;64.6536;153.5602;84.2223;151.708;54.2166;14.8349;84.2385;13.1413;65.206;81.3768
32.9745;80.944;82.4221;90.9597;36.053;148.3908;82.8307;46.0983;170.5524;81.3569;65.1697;150.3305;83.9769;8.0819;83.0541;61.0258;23.0496;47.5373;141.7699;59.0769;14.9455;44.5451;27.3936;222.5436;64.1053;64.8677;178.1941;52.3688;82.9831;149.9649;55.1436;15.1019;83.552;10.3237;210.996;81.8904
55.5035;79.6608;84.0385;47.9277;13.787;99.5715;82.6228;42.0847;103.7825;82.2817;44.1865;154.7856;83.0023;14.9916;80.3077;54.4692;50.3526;25.7201;25.2842;56.6583;39.2913;118.5672;23.9856;222.2309;161.5322;65.5835;150.9409;52.4473;84.0102;2.0747;54.5995;13.486;81.3148;12.4526;103.5697;84.4623
41.3923;80.36;82.8886;42.7971;36.8061;252.1221;83.4239;86.6264;170.1738;81.8268;53.9538;199.0806;82.5003;19.5974;78.5448;5.182;9.4514;52.5664;83.1283;49.0793;37.6563;73.2604;20.4869;121.7175;108.6629;113.1677;91.0952;143.1757;83.8459;148.6109;68.0658;18.2556;80.7626;27.7463;45.0227;84.5131
