p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
27.9858;79.1832;82.6597;64.5401;27.6549;240.89;79.7693;104.0352;155.9556;83.2689;13.2941;140.4131;83.5797;52.5135;82.862;151.6567;197.3199;145.7434;172.8618;97.9774;53.4701;188.7303;22.0472;6.8323;155.2391;53.6617;89.3736;30.75;72.7996;16.963;17.5703;8.5948;82.7746;43.1078;68.7209;77.927
11.0148;79.8352;82.5437;142.3819;56.7435;182.644;83.2105;31.1194;84.2132;83.7923;69.5388;8.0929;82.6856;57.421;81.8707;159.9527;50.0;52.2631;5.7666;151.1072;62.7897;134.337;20.783;5.8067;93.8875;95.3161;179.9327;68.434;75.5717;201.9455;6.9776;16.2556;80.4838;53.5474;85.6133;82.8611
23.3294;78.7547;83.0148;103.742;68.7485;193.4196;79.2114;41.1348;93.5764;82.7109;24.3629;147.968;83.1533;55.7971;83.7751;101.0666;50.1179;113.7075;170.3824;99.7097;63.4356;193.3214;26.3001;299.0952;50.2361;50.134;181.8393;44.9348;73.5004;6.8955;53.3221;19.6747;84.6838;62.5412;97.8081;81.3995
65.7754;77.7038;82.808;50.0;9.7185;218.0238;83.9546;85.8867;219.2578;47.457;67.0099;206.7769;79.2462;14.0991;80.2065;121.219;23.4241;48.0606;92.4544;48.3513;59.2489;116.9247;15.1878;74.5249;97.2289;115.7096;74.3383;156.2389;24.3414;309.8312;50.1742;2.738;84.5716;12.923;50.0;80.8143
63.1533;81.3118;81.2484;4.9154;17.658;200.2656;81.9006;45.9194;218.9067;84.0006;63.9576;3.4182;84.2942;13.5412;80.8419;36.5009;82.2871;58.7911;155.543;39.8301;22.7785;41.8867;21.0737;213.9413;97.37;114.0473;149.4634;53.7531;21.1078;40.5935;36.0142;18.7185;82.8397;11.0461;47.6667;79.0763
10.2237;80.8263;82.3973;42.8413;6.5008;49.8457;82.3218;94.9293;25.4556;81.5491;63.9126;27.2047;84.1431;20.6864;82.7188;87.7972;17.6627;75.6126;126.3156;96.2334;33.3869;34.5392;10.0084;215.6062;44.4341;67.6013;50.0;49.4676;20.4201;140.9137;63.3079;21.6335;83.1989;21.6312;61.8798;80.4531
38.8498;80.7338;83.495;46.1271;9.4676;193.6231;81.5212;41.2374;112.8284;48.0321;61.9112;204.7056;82.9684;7.0186;82.9483;75.1476;80.905;0.0;92.6905;47.6392;46.6727;65.1727;14.7642;116.2802;104.0756;45.0985;79.9023;52.6066;24.8111;206.8918;19.6567;22.5159;82.588;39.9628;86.7247;82.1353
29.8054;81.5654;82.3796;89.7499;0.673;51.1807;83.0996;87.5461;171.4065;64.6283;56.178;181.0825;81.38;26.1974;79.7131;65.969;19.3317;5.9953;140.8731;51.3801;37.1516;46.7327;8.0994;146.6319;3.6607;46.1176;134.3056;151.9565;26.9604;93.7366;67.6049;26.0573;80.0607;15.145;75.3141;79.4925
14.0386;79.5728;83.0435;89.3585;11.5654;89.1574;83.5564;52.2021;213.1322;80.2331;53.3174;189.6463;84.3566;21.8091;82.2131;28.9802;22.559;44.411;218.8667;48.4386;27.576;118.3282;15.9496;143.4549;57.195;57.6905;76.4584;93.2732;19.6007;133.4707;53.4078;24.3033;82.1366;17.0986;49.5582;81.9072
64.4763;78.58;82.9563;48.0334;48.8057;218.7629;83.0588;98.0482;219.793;82.4824;68.1799;143.662;81.3252;24.2764;82.4118;62.5159;81.9981;9.1033;15.4427;50.057;1.3374;33.0038;16.1137;160.0174;2.8814;103.7297;81.7253;61.2882;22.0635;40.0653;54.8133;17.1718;78.9937;28.716;52.4834;76.2844
