p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
38.0505;0.8261;0.0;107.0657;0.1217;47.7716;0.0;0.5835;118.1334;83.4256;0.0;76.7225;1.5602;52.6576;83.875;103.7967;0.0894;54.0543;386.9134;0.0;0.0;89.5436;0.0;0.0;50.1178;3.6873;3.6165;54.336;61.6997;186.4029;0.3642;21.883;84.2572;0.3644;50.0;78.426
36.4701;0.0;0.0;113.7509;0.2973;105.3679;0.0;6.0603;70.7156;84.0226;0.0;65.73;0.1775;52.1143;82.8888;106.7809;0.1191;55.0128;3.741;50.0;0.0;97.2468;0.0;0.0;59.533;4.6146;15.8611;11.6233;59.5627;4.5525;0.3121;15.0111;85.085;0.3642;5.0857;84.1601
34.3361;13.5717;81.7013;112.6137;63.5922;174.2824;0.0;49.8798;2.9545;83.3028;2.014;68.717;83.1177;59.0787;82.7822;155.8096;0.1176;100.4937;0.5142;57.4389;22.1513;62.9302;0.0;113.626;84.5609;63.416;79.8989;52.4213;74.876;0.1179;0.7755;17.8003;83.7344;0.2426;57.4821;1.4347
36.3244;2.5166;83.994;91.8676;54.4923;134.673;0.0;57.2861;54.0344;82.7382;5.5708;72.6166;83.3156;57.6001;82.7496;146.8804;46.5447;0.549;3.1188;3.5187;27.7962;12.8876;0.0;59.8095;66.1697;58.8445;149.8011;8.002;73.7537;0.118;3.7688;13.3569;86.1527;0.8608;27.2961;8.2612
16.2356;54.2173;82.515;109.9273;1.3723;116.595;0.0;69.1234;3.0391;84.1537;53.3696;64.0915;82.9264;18.545;0.0;146.2617;0.1182;97.8895;4.3381;42.0099;0.0;55.9104;21.1517;4.1325;50.2361;20.7415;152.5821;0.7314;17.3286;3.585;39.5571;4.6102;3.1872;0.1609;51.1805;4.5777
23.4732;56.074;82.2267;140.6671;0.808;9.6651;0.0;50.4714;54.2465;83.8331;68.012;53.8302;82.6039;12.7678;0.0;0.0411;50.1195;41.9987;1.8792;156.8988;0.0;36.4356;27.006;2.8409;66.4879;50.0;81.892;25.7497;24.3113;1.2998;6.8401;3.3225;4.0655;1.1488;2.336;7.9999
36.0077;64.325;83.0464;52.9452;0.0;53.0653;0.3027;50.2361;121.1071;43.5621;68.284;48.7284;83.7409;52.079;2.3596;100.8127;47.8282;105.1522;185.9353;2.4135;0.0;86.4614;6.1013;165.4616;0.0;8.6096;86.2034;27.2898;22.6017;0.0;0.2422;0.1213;84.036;5.3456;66.223;82.9686
30.8183;61.266;82.9451;1.3029;0.0;57.2185;3.8041;0.0312;111.8432;83.1861;63.309;152.6297;83.6728;4.374;9.5297;105.7082;0.0844;94.7876;60.3963;49.875;0.0;23.9791;10.7825;397.5063;0.0;54.1007;59.6576;21.2567;19.5734;0.0;7.7097;0.1214;84.7483;5.5848;69.2822;80.2343
2.5858;31.9436;84.1607;99.0096;0.0;45.9708;0.3643;0.1678;52.8653;82.7631;0.0;126.9018;83.3091;30.581;1.3913;9.556;47.0086;107.6071;384.1037;0.0;63.667;138.4888;13.9966;59.8179;1.8184;54.5938;191.5761;52.3882;75.2465;50.1195;15.1534;11.3474;28.891;5.6413;51.0003;82.831
2.056;34.2811;81.5913;97.8561;0.0;87.0086;0.3512;50.0;3.3076;83.429;0.0;157.8739;81.7138;52.8996;8.1581;2.4036;0.101;106.8563;408.5553;0.0;59.294;128.2064;26.5456;2.9285;50.3557;105.6338;125.1966;49.875;72.6788;0.1176;66.5768;21.4531;19.3314;2.4718;62.9373;81.5145
