p: 0.79,ripartizione,arena: III;p: 0.1,ibrida,arena: III;p: 0.79,ibrida,arena: III;p: 0.1,ripartizione,arena: III;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: I;p: 0.79,ibrida,arena: I;p: 0.1,ripartizione,arena: I;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.79,ibrida,arena: II;p: 0.5,ibrida,arena: I;p: 0.5,ripartizione,arena: I;p: 0.5,ibrida,arena: III;p: 0.1,ibrida,arena: II;p: 0.5,ripartizione,arena: III;p: 0.1,alterazione,arena: I;p: 0.5,alterazione,arena: I;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: IV;p: 0.5,ibrida,arena: II;p: 0.5,ripartizione,arena: II;p: 0.1,ripartizione,arena: II;p: 0.5,alterazione,arena: II;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,alterazione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: III;p: 0.5,alterazione,arena: IV
50.0;111.1896;113.9322;52.7287;37.0656;68.9298;65.7713;75.5751;97.087;39.0656;56.3804;35.4793;106.993;53.7483;56.4769;51.5673;58.5194;45.0722;48.6121;110.6241;5.3871;31.7576;50.6413;26.8673;58.7861;58.5856;33.3876;48.6295;42.0221;0.2354;34.2851;69.6529;15.7728;50.0;5.1971;45.0097
9.7857;10.5246;55.3623;30.0152;60.1396;72.3795;71.3065;77.3255;111.2531;77.5758;62.6868;64.209;105.0681;54.874;41.7833;45.3414;39.8578;49.9002;48.6193;25.417;11.9294;37.1747;43.0761;31.2321;31.2135;48.8934;41.2036;11.9256;44.2664;4.0559;55.5611;2.3633;13.8627;50.5695;70.7466;15.9201
50.0;59.5638;74.9743;50.0;47.1096;73.4699;47.1316;75.3783;50.0409;6.488;50.0;77.5677;47.2436;54.0732;48.6054;45.4837;51.4483;47.0722;52.4952;42.4478;72.6183;49.0454;57.751;33.9013;43.2057;39.3521;35.836;38.2171;48.5777;70.6842;48.6136;55.9882;28.7789;50.0;78.2929;6.2306
50.0;50.0;54.4096;55.1911;77.4511;74.7979;72.3448;65.7668;98.3144;39.1015;52.8949;47.705;70.6908;63.9438;46.3457;48.756;45.9858;14.3647;48.6122;36.7259;58.801;46.7262;23.6909;50.0;63.182;37.7655;39.8089;0.1218;51.8049;52.2305;48.6285;116.4842;51.0632;0.0;52.7776;11.422
185.3974;6.3915;60.1136;55.6272;62.6419;70.0222;52.7952;1.2989;96.4751;96.6533;50.0;63.1521;52.0051;47.6838;48.448;52.5888;43.2897;23.536;62.575;39.722;62.0663;46.091;48.1418;50.0;23.5309;44.4688;44.838;54.1596;15.2995;40.6901;47.9156;50.0;0.3257;2.7773;50.0;5.3438
109.8689;58.9692;184.313;0.2366;71.2625;63.0875;62.7794;50.4681;52.1086;63.7843;85.4283;61.7156;50.0;60.723;55.7439;56.206;49.8012;51.9142;53.287;37.6581;0.1216;73.8326;52.5242;97.1192;49.125;43.7275;37.8081;24.3944;45.6685;56.6764;63.5754;112.943;0.2997;8.3817;4.1096;30.8646
60.0155;57.071;71.8593;12.4422;75.7432;73.0743;46.6013;8.5373;97.0975;50.2991;104.1311;49.3484;36.1345;56.107;63.0733;43.5448;45.9142;38.8731;46.6816;87.5038;4.4232;47.1106;57.5472;68.8332;25.4127;30.378;34.6728;57.5631;44.7095;42.0322;63.7781;50.0;34.0236;17.4491;0.9357;58.3546
114.2616;50.0;115.1715;50.0541;65.5364;78.797;74.4236;23.5258;72.4206;50.52;59.3555;76.0258;51.2987;48.1686;55.4483;61.8444;41.4529;47.4274;70.6563;50.1405;0.0362;37.4302;69.8591;49.8937;40.2523;45.8104;45.1253;60.2736;24.2867;47.9331;18.7372;113.2471;15.9358;73.6266;27.0593;9.0965
66.9737;105.6838;60.9129;50.2357;73.1099;65.0611;71.2182;75.7212;59.02;63.6876;50.0531;51.3855;51.6063;48.6188;48.8537;64.3577;49.7101;21.788;61.1132;47.5875;48.6043;42.0591;48.6207;29.6975;50.8318;34.5656;42.7446;54.2379;50.9725;52.776;50.7141;65.1505;50.6805;44.2119;51.1808;52.5868
73.1595;160.5493;50.2362;50.0;75.9749;65.6588;69.0683;78.1607;100.5557;62.4705;50.0;47.351;0.4725;48.6228;48.624;48.4971;45.1135;45.7091;39.286;15.2757;52.9784;45.8036;50.2698;43.2747;55.1983;46.4447;46.2159;62.4359;29.6842;200.619;48.6214;9.6123;50.0;50.1178;8.4121;50.1179
112.0835;71.6668;50.0;69.4005;62.0883;60.7058;73.6996;64.6991;68.9602;50.0;56.6861;58.2929;52.1526;52.4016;54.1711;37.3623;43.2392;46.5092;41.5684;88.1762;48.5048;37.9852;55.7119;57.7216;38.9872;42.5101;46.3915;37.2995;45.9773;52.8725;53.3082;63.5086;100.1725;11.0713;52.8306;4.1679
96.2835;22.1395;50.0;265.3336;72.0766;70.972;55.7266;78.8883;61.8703;70.286;70.0811;47.7609;0.118;44.741;48.3784;46.1732;41.0399;92.7207;49.1247;118.5976;69.1514;46.4352;41.0575;50.5918;41.6951;42.5085;30.6743;58.7341;53.5594;2.2554;46.3023;0.0911;0.9163;2.7681;50.0;30.369
55.2271;82.1448;50.1259;81.9399;76.39;70.3709;75.5109;3.0258;50.0;73.4965;91.2809;79.057;38.6565;43.5935;57.9922;36.6911;47.7787;53.2818;42.2429;46.5;69.6725;51.0323;54.4785;57.9366;67.3699;47.5694;36.6055;11.0552;23.9801;52.2235;75.1241;13.7694;0.471;63.2435;50.9893;49.1211
50.0;72.0386;65.1844;50.0;76.4581;79.8364;72.8794;77.3666;60.1852;95.6603;50.0;49.4398;0.0;58.8531;46.7268;42.6782;37.4287;70.3322;55.3113;48.8768;59.5414;76.8245;28.8276;80.3528;53.2354;44.4268;47.6494;11.9244;43.5312;50.0;27.4183;11.7874;50.0;30.4856;48.4937;0.0941
50.1702;11.3382;90.4368;4.7971;72.1152;77.453;52.3171;80.1229;51.4427;47.1475;101.8426;80.7806;65.3308;52.7956;57.5958;46.3358;46.6815;36.3244;47.1616;25.1919;16.1216;30.688;54.9734;55.3962;52.7841;47.7548;42.2168;59.5086;60.4061;50.1188;47.1975;63.2661;69.9835;50.0;46.9305;9.8023
57.8762;54.1842;50.0;6.997;68.9865;53.0953;76.0474;64.0473;63.5978;50.2371;50.118;31.835;88.612;48.6179;51.7538;47.0652;53.3033;52.0078;59.7431;56.7075;63.1603;50.9238;50.7103;52.8701;58.6949;59.2369;41.3957;15.699;48.9842;2.0937;48.3761;27.0427;3.1951;77.8368;50.6936;1.8077
60.3706;134.2549;93.5706;54.7355;68.3248;50.6;70.735;75.5985;64.9512;109.6748;53.7827;67.2989;50.0;61.8777;48.9943;45.7642;45.3067;44.856;45.6;74.2653;43.2066;46.9542;47.2388;3.2673;56.6115;48.6104;46.8823;57.218;44.2453;50.0;8.4532;44.2854;67.9798;2.2452;19.4369;0.1706
56.2095;206.1032;53.671;112.7006;60.1059;75.1981;72.1334;65.3789;80.9235;55.0402;52.7142;53.7678;2.6847;60.2119;47.7265;47.3999;42.6983;63.3707;48.6983;44.244;48.5048;31.3035;48.4109;38.0349;50.4596;44.4991;32.5623;48.2754;46.1716;37.749;64.5566;76.5912;1.3786;44.4518;59.915;0.0
114.7608;68.6072;53.3301;121.3912;70.206;76.8784;48.9634;61.6411;50.0;53.1111;48.023;61.0271;81.729;39.0151;51.2332;48.9695;53.9031;39.4634;59.7587;33.2904;76.195;31.476;48.8534;29.0561;12.1085;44.6335;43.4547;56.2183;44.4917;58.8199;47.8511;7.1082;50.0;50.1183;50.0;50.5483
50.0;112.0797;61.6547;36.641;75.636;73.903;72.7231;58.3342;65.481;111.9017;8.3625;71.0816;112.0078;54.0026;46.9121;52.6136;49.822;50.0;54.6273;41.0897;61.2402;42.8752;48.6221;20.4765;96.995;40.9315;31.7071;40.0254;38.1011;58.5316;48.7291;50.1179;1.2456;60.584;50.5915;51.8347
181.0265;112.7061;67.5086;55.5579;78.9969;78.3837;73.5932;80.4845;67.0576;50.0703;50.0;59.3889;50.0786;46.5264;50.7451;44.1841;71.5063;54.8407;47.0619;59.4116;2.5462;71.6286;31.9099;54.3844;37.3166;40.932;44.4665;59.615;36.5483;50.0;48.5221;50.2124;50.0;0.1197;50.0;50.1176
78.82;55.0781;64.0936;8.2496;68.9477;79.1861;72.2522;62.6657;8.4646;50.0;38.5822;8.583;10.5576;48.4745;28.9743;58.7325;46.9213;50.924;26.0632;50.8562;48.5949;42.0959;48.6104;24.0847;62.6675;38.5783;43.8941;16.0866;35.7642;205.5584;72.2086;5.0289;50.0;2.4722;33.2344;50.0
