p: 0.79,ibrida,arena: III;;p: 0.1,alterazione,arena: I;;p: 0.1,alterazione,arena: II;;p: 0.79,alterazione,arena: IV;;p: 0.79,alterazione,arena: II;;p: 0.79,ripartizione,arena: IV;;p: 0.5,ibrida,arena: III;;p: 0.79,alterazione,arena: I;;p: 0.5,alterazione,arena: I;;p: 0.5,ripartizione,arena: I;;p: 0.5,ripartizione,arena: III;;p: 0.1,ibrida,arena: IV;;p: 0.1,alterazione,arena: IV;;p: 0.79,ibrida,arena: I;;p: 0.79,ibrida,arena: II;;p: 0.5,ripartizione,arena: IV;;p: 0.5,ibrida,arena: IV;;p: 0.79,ibrida,arena: IV;;p: 0.5,alterazione,arena: IV;;p: 0.1,ibrida,arena: I;;p: 0.1,ibrida,arena: II;;p: 0.1,ripartizione,arena: IV;;p: 0.1,ripartizione,arena: I;;p: 0.5,alterazione,arena: III;;p: 0.1,alterazione,arena: III;;p: 0.5,alterazione,arena: II;;p: 0.5,ripartizione,arena: II;;p: 0.1,ripartizione,arena: III;;p: 0.79,ripartizione,arena: III;;p: 0.5,ibrida,arena: I;;p: 0.1,ripartizione,arena: II;;p: 0.5,ibrida,arena: II;;p: 0.79,ripartizione,arena: II;;p: 0.1,ibrida,arena: III;;p: 0.79,alterazione,arena: III;;p: 0.79,ripartizione,arena: I
statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness
393;57.4225;16;77.8566;774;29.0366;134;5.6943;239;52.7516;253;77.258;456;67.2378;622;49.6574;801;40.966;722;46.169;801;20.9105;54;50.0;43;0.0928;125;80.8708;173;55.2214;742;15.0126;748;52.7997;246;78.9138;792;17.3268;399;33.6083;19;9.2972;80;121.3176;24;77.3449;389;9.7385;124;0.4006;412;42.3749;801;44.5405;87;165.8988;133;113.3928;801;45.1502;18;62.409;517;41.8994;65;50.1408;45;50.5143;50;50.0;78;70.4886
121;57.2587;44;75.4297;7;13.1931;381;66.7508;253;55.0894;359;69.635;801;33.1305;386;44.2181;801;44.4334;801;35.9465;612;24.3853;212;113.2314;29;0.0429;39;80.2707;151;52.5091;756;62.7804;348;23.0884;148;59.4555;194;52.9906;46;78.3827;153;51.0155;8;0.8192;16;76.8503;741;27.9615;16;3.6722;801;24.1832;801;43.5584;15;121.119;216;50.9116;801;43.2027;3;7.9903;537;49.3354;99;48.8094;65;119.621;796;7.1741;221;74.7796
402;71.08;723;52.5523;7;12.8512;651;72.3615;230;52.9774;20;50.0;799;37.9556;154;42.2842;801;25.3746;801;43.9697;756;44.1155;106;66.977;757;16.8733;292;35.2629;228;43.8855;761;36.7833;668;43.1125;189;51.1465;789;16.2853;8;79.8963;29;15.4298;8;50.0;11;77.5395;801;32.1326;401;60.539;55;53.8622;694;48.4308;210;113.72;206;171.8105;801;36.5898;5;12.6601;795;37.9015;99;59.6486;16;3.8337;438;67.2354;10;80.0503
112;70.8795;224;48.2562;600;53.579;422;27.0906;410;52.5887;188;64.0343;801;44.2526;182;76.1777;774;48.2098;801;40.878;799;35.4759;96;59.3757;133;60.9138;318;74.2694;79;51.7402;796;48.3946;672;34.9391;63;69.692;782;25.2704;14;78.6039;24;4.7768;82;71.3648;47;83.2799;791;16.6512;179;52.0191;519;13.1738;718;49.332;60;78.5803;53;50.0;801;40.724;3;46.6532;801;42.9347;130;39.3668;99;117.1304;569;11.8927;53;77.8759
409;107.4709;50;22.1238;6;9.5676;380;29.1134;742;4.1069;285;65.9425;636;53.9735;236;57.8033;784;44.2349;752;55.8186;790;34.2951;53;84.5669;391;118.5276;99;44.1278;39;42.6826;685;29.2332;794;34.1557;169;87.5921;801;15.5768;84;80.0544;19;43.9266;9;50.0;31;78.9471;196;8.3715;262;61.4592;801;24.598;801;46.5027;58;116.1811;184;120.8714;801;46.4979;43;19.8351;801;42.8052;96;53.889;191;52.2603;561;59.424;89;75.8538
595;82.1725;47;54.3964;799;50.3391;742;37.6213;142;55.709;303;109.6106;799;35.8008;419;47.7632;221;77.9363;435;47.6407;484;59.0806;110;62.2824;151;19.4901;144;73.1517;104;49.9962;801;61.4821;795;35.0051;422;14.953;785;16.629;49;77.4521;63;46.9612;67;112.6516;48;29.7999;728;13.2714;165;56.0981;801;45.7068;630;36.7851;119;92.2272;76;36.4049;801;45.2604;11;9.7094;801;45.7957;23;41.6585;136;54.6285;438;21.7423;45;73.9094
182;50.0607;176;78.8215;152;53.3475;284;26.4068;78;49.1679;19;50.1182;487;63.4227;122;52.089;786;49.5406;801;46.9722;777;29.4351;123;114.9258;377;8.6962;244;54.8634;52;54.9243;196;55.8646;513;84.057;41;50.0;440;31.0973;2;77.4218;11;6.0882;48;35.2927;37;81.4995;250;0.7336;196;3.7085;602;41.7505;737;44.0627;50;114.2887;125;56.8567;801;49.9599;2;0.1066;139;44.8275;159;54.3466;186;158.9168;306;117.6046;157;43.1078
180;51.5038;8;1.1608;3;26.0983;585;3.4422;40;54.6267;148;95.4825;799;38.1083;162;54.8779;620;37.995;483;46.093;801;50.4959;106;13.2245;138;68.2521;86;77.2515;207;50.586;445;83.449;798;28.6609;173;51.0243;506;2.9444;17;81.6918;70;46.7189;24;66.5273;29;48.7859;801;13.9945;306;61.6288;747;6.6262;801;41.4112;82;4.6868;346;211.7866;765;39.9368;10;9.8415;514;48.9739;178;47.4322;150;113.7283;433;73.0229;47;80.4661
354;55.3651;24;82.3704;223;16.5216;175;53.872;39;5.7463;136;55.6189;705;45.9391;202;42.8682;551;49.0649;663;46.6363;790;22.066;415;67.8689;748;30.7215;339;55.7481;47;57.8837;582;55.9334;783;15.2824;795;39.6451;435;1.1793;81;53.3629;59;56.6845;20;52.3864;113;76.6005;231;1.22;108;8.7429;801;33.0762;801;43.2498;26;65.2826;200;122.2803;791;35.5544;1;13.6253;775;36.8123;42;56.1602;197;5.6144;56;53.4127;34;77.8669
527;83.829;92;73.1148;120;25.8197;270;67.7439;317;57.137;207;89.739;801;48.4008;220;53.3743;533;53.2981;801;48.1741;306;53.3335;379;62.2763;743;28.9561;100;52.7614;247;53.0068;782;26.0898;617;27.1657;343;61.6479;775;9.5605;225;80.9363;496;54.0001;3;50.0;37;80.9833;394;60.3423;205;68.8158;801;45.8821;801;46.9288;19;7.8563;138;121.8003;801;45.99;3;11.0181;467;49.3854;14;22.8725;151;57.5289;167;30.9626;37;75.2847
64;50.2818;8;69.954;7;4.8725;672;8.9873;79;53.9927;173;62.0731;801;51.1675;300;43.9949;786;46.5013;801;36.1114;732;26.5474;148;67.1859;183;53.7305;111;80.0927;56;44.7969;715;20.9701;801;19.1172;339;64.3157;434;64.9489;38;79.1192;58;53.5832;123;68.1301;12;7.7459;801;10.6604;132;5.0178;743;39.9615;801;43.3464;55;109.4236;200;74.9586;801;37.3459;120;52.3088;801;43.794;152;44.3326;267;65.2448;331;20.2313;111;80.6649
202;122.2292;58;59.6509;53;54.8709;784;18.6842;103;51.3822;74;80.943;94;51.0986;32;2.1762;801;22.7238;801;46.6767;801;29.8198;307;75.6128;85;50.5189;36;74.8598;460;50.2539;800;11.1146;472;81.5591;546;69.8329;767;20.3576;12;78.466;65;53.6617;40;112.4119;24;78.0527;799;16.3937;28;50.0;801;39.9264;801;47.0431;19;0.8844;272;53.6996;800;47.0656;11;11.1589;801;39.1347;285;48.1167;194;27.3151;323;62.1315;70;79.7804
223;66.7926;6;55.4021;167;9.9027;290;54.1038;393;51.3471;322;68.292;456;54.6659;155;80.1675;801;31.9417;279;45.9;801;36.0757;162;32.3819;43;6.6983;299;73.1233;693;46.2672;667;52.3245;800;31.3738;20;50.0;801;38.7856;78;78.1995;27;45.8979;26;33.6888;13;78.69;755;58.9722;318;6.0551;593;43.3595;774;35.1679;25;72.563;335;217.2835;418;76.0244;2;66.8593;368;53.4368;359;40.68;127;166.0671;241;3.8974;93;76.8253
