p: 0.79,ibrida,arena: III;;p: 0.1,alterazione,arena: I;;p: 0.1,alterazione,arena: II;;p: 0.79,alterazione,arena: IV;;p: 0.79,alterazione,arena: II;;p: 0.79,ripartizione,arena: IV;;p: 0.5,ibrida,arena: III;;p: 0.79,alterazione,arena: I;;p: 0.5,alterazione,arena: I;;p: 0.5,ripartizione,arena: I;;p: 0.5,ripartizione,arena: III;;p: 0.1,ibrida,arena: IV;;p: 0.1,alterazione,arena: IV;;p: 0.79,ibrida,arena: I;;p: 0.79,ibrida,arena: II;;p: 0.5,ripartizione,arena: IV;;p: 0.5,ibrida,arena: IV;;p: 0.79,ibrida,arena: IV;;p: 0.5,alterazione,arena: IV;;p: 0.1,ibrida,arena: I;;p: 0.1,ibrida,arena: II;;p: 0.1,ripartizione,arena: IV;;p: 0.1,ripartizione,arena: I;;p: 0.5,alterazione,arena: III;;p: 0.1,alterazione,arena: III;;p: 0.5,alterazione,arena: II;;p: 0.5,ripartizione,arena: II;;p: 0.1,ripartizione,arena: III;;p: 0.79,ripartizione,arena: III;;p: 0.5,ibrida,arena: I;;p: 0.1,ripartizione,arena: II;;p: 0.5,ibrida,arena: II;;p: 0.79,ripartizione,arena: II;;p: 0.1,ibrida,arena: III;;p: 0.79,alterazione,arena: III;;p: 0.79,ripartizione,arena: I
statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness
84;4.6284;107;81.813;25;1.0073;23;50.3536;218;53.3806;113;70.2389;692;35.5736;712;42.9522;801;49.864;801;40.9733;740;24.8998;563;37.9518;241;5.4494;46;79.3875;261;49.9445;781;42.3994;269;53.0459;323;65.6002;801;25.6219;74;44.946;14;8.4435;44;64.6038;22;77.6926;801;15.9684;90;65.3906;801;47.9814;90;43.7993;30;116.3731;210;55.543;801;45.9384;83;10.6699;801;42.1414;165;47.4835;202;92.0969;267;2.5843;114;76.6861
366;80.8533;114;50.1314;144;53.8481;674;7.6974;737;40.4464;417;46.1989;793;31.288;545;49.9292;797;51.628;801;47.4829;801;30.5984;456;109.0297;96;69.882;221;49.9526;111;45.2537;801;31.7681;701;32.5586;126;45.5261;789;7.9957;86;79.0577;263;50.2254;171;39.2372;13;72.506;801;11.5327;174;73.4215;785;44.7401;244;44.3857;21;50.1839;378;58.9617;717;46.8388;10;0.0986;801;42.6615;33;45.753;262;121.3991;340;63.6128;210;77.1618
707;49.6445;54;55.5727;11;1.9628;801;31.4194;722;48.3662;74;67.3214;800;51.9592;801;46.6328;317;43.7475;801;49.8254;578;25.592;140;50.5443;27;50.0;204;68.8993;589;46.629;726;54.1319;801;30.2799;222;62.0942;429;4.0802;55;77.7866;89;53.6156;7;0.0857;15;80.403;616;52.4553;194;0.1396;261;57.4492;801;42.8143;196;114.935;259;71.9726;801;36.0065;12;39.5952;801;44.9064;296;49.0535;81;60.4752;569;57.9169;56;77.8326
11;50.0;764;48.8912;10;51.7408;84;50.1176;304;51.8745;69;50.082;757;34.5476;265;49.9951;218;44.1448;801;33.9961;777;29.0019;59;65.6884;234;1.2397;26;56.6865;127;23.5069;676;37.8828;312;53.2871;327;83.9298;670;2.7317;196;66.3445;83;44.4924;73;57.9937;18;78.1695;713;13.5621;87;57.5856;801;52.7769;798;44.5094;9;54.3112;150;81.3327;790;37.5049;18;27.8834;709;43.8871;354;41.5624;75;64.43;236;28.1322;65;55.2942
195;54.5962;133;79.4448;61;7.9996;29;50.2159;530;32.612;245;57.9524;753;20.8804;449;42.6687;369;46.9596;801;43.4765;296;61.83;213;58.4251;178;86.1996;338;51.9503;437;49.2936;800;39.9526;785;28.1678;72;54.2141;800;13.2384;23;80.0164;103;42.7569;42;53.8336;7;45.8692;782;10.4146;166;7.2059;801;37.2698;801;43.2975;70;111.0259;250;55.5926;801;40.5985;28;66.1028;801;35.7944;121;59.569;147;80.9426;514;25.9359;258;49.8447
198;39.9034;380;46.1969;25;10.6302;117;0.6385;312;48.7952;24;57.4839;464;51.2891;312;56.0821;500;46.4477;801;41.2215;563;57.9198;49;50.0;150;57.2675;87;76.6421;8;51.8068;645;21.689;801;18.1151;347;59.1791;799;24.8814;157;76.6707;63;44.1678;71;62.7777;2;1.5273;798;18.1054;71;55.8408;281;47.1432;763;52.2604;83;69.5887;296;12.3073;801;49.4029;23;3.9726;791;42.7108;25;24.5916;54;118.284;555;36.8722;99;78.1598
280;121.8024;148;49.6649;92;54.917;751;10.9566;87;52.9566;388;87.1529;800;28.4082;494;76.421;801;42.7971;801;42.6539;351;50.0888;65;67.1882;602;65.9452;248;62.4742;219;51.4993;799;37.2199;801;56.3094;7;50.1186;801;-27.6819;46;77.1384;23;50.6996;68;80.4014;47;77.9409;387;65.0008;487;4.1277;801;52.9616;801;48.3767;89;18.0763;88;56.034;801;41.0566;23;7.8023;479;42.0282;288;49.8233;456;53.1989;483;77.324;24;79.5946
801;49.2699;60;40.5872;6;60.3982;638;29.8767;120;51.0631;102;63.9479;799;42.2685;132;79.6785;334;39.4818;801;45.2857;801;22.5049;65;42.5787;503;26.5806;248;70.0979;216;53.3438;117;7.6782;663;54.7263;253;57.7127;801;8.5749;29;78.6902;59;70.5461;143;2.5913;75;76.9286;720;31.7133;343;125.4362;780;19.6358;428;43.6867;114;97.8496;169;54.2847;718;42.5448;18;27.9576;37;43.5908;41;49.2427;714;142.6901;577;2.5935;42;74.9591
298;101.0546;34;0.4594;556;31.8272;232;36.33;189;54.8881;120;1.6741;792;49.1718;184;54.5575;324;48.1374;794;44.9067;682;56.6879;151;117.0481;21;92.1216;381;72.193;105;43.9764;268;53.2038;112;51.7818;564;68.2924;470;6.0706;10;8.8355;37;49.3583;130;72.1683;36;46.8177;793;43.7198;252;50.0;801;45.2805;801;44.5328;136;116.9589;130;62.4795;801;42.8297;14;10.694;801;42.3328;308;50.6063;143;50.2065;100;5.4032;200;80.6086
106;53.3789;8;70.4669;6;12.5623;16;50.0;170;32.9648;204;64.0618;290;65.2213;197;55.3994;801;43.6623;698;47.2249;796;33.192;184;109.9013;799;20.7186;129;57.2746;616;48.3667;799;32.0901;752;34.1144;8;50.0;797;6.5084;58;78.6061;16;49.027;51;67.836;8;74.4673;699;83.3891;143;0.9771;625;41.597;801;49.2606;16;50.788;142;50.0;801;45.5828;11;33.7707;801;49.728;645;47.7978;151;65.1151;669;19.0137;165;77.1666
391;82.5398;114;58.6409;153;62.1114;502;88.4842;560;48.7027;156;27.2509;633;62.402;258;49.3219;631;45.2632;519;43.0344;797;54.381;100;48.4473;323;80.0616;161;77.5406;55;50.6149;801;15.0685;422;70.5337;156;50.5667;233;51.1438;54;76.9691;89;41.7364;36;65.9387;2;78.8835;801;10.9625;19;-65.4911;359;40.107;801;42.2968;79;63.0735;204;57.0034;799;46.6672;9;22.1135;801;41.8503;211;52.8458;180;306.4698;218;126.5116;21;80.2281
61;58.289;83;32.661;30;11.3769;275;38.1359;316;48.381;83;89.9678;801;116.6814;396;49.0367;801;30.2405;801;45.1654;494;67.1342;30;4.9926;333;56.0364;81;77.2957;148;48.9556;761;71.8779;373;78.5248;173;63.2262;587;0.0;38;80.4219;88;55.4779;54;50.6749;27;75.5739;801;5.7603;102;111.5593;782;34.2692;801;45.6113;44;216.8495;291;118.2549;387;79.5985;3;13.0807;801;39.2553;16;52.8168;313;112.552;127;102.7398;138;78.758
204;164.1383;74;72.1587;92;13.5547;333;67.126;348;41.4223;100;56.8821;317;64.2922;115;45.0842;801;37.0845;801;43.2091;376;69.0494;84;52.1991;80;31.4765;241;53.1299;633;41.3534;776;12.2449;627;62.1024;164;50.0;796;15.3607;38;80.2327;137;67.6381;15;50.5695;2;78.0183;764;24.4321;29;-9.6385;801;26.0598;553;36.0514;39;69.1408;201;68.2335;801;44.654;14;50.8126;801;43.3627;156;51.6441;247;32.5023;91;1.5971;24;79.0951
448;112.2609;63;5.0623;29;55.0181;255;3.455;240;54.7383;276;98.2886;709;51.7026;313;50.3709;801;43.468;801;44.167;790;37.6847;9;50.2373;347;47.4737;163;77.0564;104;50.2584;444;66.7356;800;32.5074;728;70.7684;398;27.2809;30;80.4904;98;68.3745;30;4.8638;36;79.2085;712;33.6522;782;10.6593;154;45.9354;801;42.6456;38;65.7954;83;122.6874;800;38.8239;171;45.0386;801;32.0087;293;57.9485;181;118.202;375;58.6298;73;79.3127
212;67.9429;224;79.3684;11;12.6671;220;50.4044;38;52.7205;199;52.2025;608;39.5153;119;76.2375;192;54.4837;801;36.3896;204;110.0247;122;113.9828;122;65.5555;156;52.1766;216;42.6026;207;55.5588;746;16.3911;171;52.0038;304;8.9661;28;78.8063;37;40.8151;82;96.5143;14;82.2198;302;5.2401;219;40.8987;801;42.5588;336;46.159;18;50.0;121;59.1464;751;38.2829;14;6.7156;801;39.6379;62;55.1912;180;17.5996;714;40.2364;119;55.7135
725;50.0;33;78.9379;582;38.4481;363;18.6868;145;20.0133;28;50.4727;794;43.8031;95;55.1577;801;23.4035;801;41.2457;422;52.8795;47;74.1693;41;-22.0023;168;42.9365;416;52.678;719;39.378;797;18.5616;454;59.8029;723;8.6081;110;76.9708;13;50.8384;33;117.4026;50;79.3118;269;0.3964;47;56.4169;778;50.5202;801;40.7824;87;56.6695;56;50.1071;801;49.2474;24;10.8759;801;42.0544;53;45.4815;237;65.8999;276;51.3569;122;75.6628
743;48.4652;43;79.9645;116;0.6945;407;41.1488;83;10.1328;116;117.3568;636;46.7344;162;57.5152;801;47.4225;801;49.8039;800;31.9692;237;19.5127;340;69.0068;246;66.0803;109;43.9016;740;32.7335;178;76.0357;261;50.0612;764;28.2418;56;75.5148;342;52.8696;14;58.1141;2;79.4402;31;50.0;117;1.5488;719;41.6308;801;54.4754;17;114.3966;267;70.5486;801;45.8493;36;17.2187;801;42.3514;111;39.1342;205;116.7205;486;8.6008;209;76.1051
343;81.7992;188;45.1787;93;23.3531;129;0.5812;197;57.3989;34;8.5808;801;40.5685;472;35.8236;734;46.7241;792;47.0722;794;31.7601;97;114.5043;111;65.2997;103;55.0856;34;53.4125;176;50.441;281;59.7401;743;53.3231;600;12.029;252;76.764;21;20.1959;30;67.8644;41;76.0613;434;6.1903;758;14.3469;801;38.6868;801;37.415;55;68.633;154;173.4468;502;44.9048;19;1.984;526;45.9084;9;49.1977;476;85.6397;422;56.0727;150;79.7729
255;115.3663;23;75.2461;44;10.6666;775;22.0753;52;57.2292;136;55.9112;780;38.9425;708;50.0502;428;45.1915;801;39.4102;763;40.1712;57;50.3204;67;67.6322;45;75.1649;312;48.2497;433;60.0202;800;28.2394;111;59.0928;697;3.6236;18;77.7289;27;15.3972;17;98.2134;11;42.0182;593;74.3916;37;-37.8814;778;51.5565;685;47.5823;46;122.9295;96;71.1673;801;42.6056;8;0.283;277;27.8612;181;45.6629;207;67.8595;585;35.9719;28;74.4444
236;87.7132;9;6.5431;17;59.2342;777;60.703;48;52.4878;323;25.5942;800;19.3603;78;78.003;801;47.1315;801;37.2054;794;37.5716;118;67.0694;104;58.2613;593;78.3328;85;65.0181;542;23.1058;800;36.744;636;60.9621;313;65.2202;55;80.4968;62;27.2313;163;117.3065;7;10.0144;795;29.8618;267;64.6036;801;37.8544;801;46.8263;36;67.5694;265;259.4646;749;52.5107;42;66.307;587;51.3178;136;54.0741;278;173.7408;184;1.3513;12;77.8799
587;78.9847;36;51.9708;94;59.6624;260;2.9925;238;0.952;138;119.9111;274;49.4322;473;9.3509;392;38.0388;801;45.0959;781;49.6869;140;31.833;130;0.5731;167;75.8095;322;50.9413;801;44.8367;698;36.8467;247;72.0233;242;13.219;528;54.8873;198;50.0155;19;67.2998;2;80.7143;339;0.421;212;64.0701;801;28.7552;780;38.7365;9;50.0;154;68.542;334;37.9226;8;41.5427;801;44.4222;268;45.2496;186;61.2501;268;1.4486;72;77.5305
294;64.0446;83;75.1586;178;52.6496;321;18.5485;401;51.7452;339;117.8613;801;32.2511;28;55.9928;559;46.3181;801;41.7549;801;40.1886;51;51.7458;180;2.7918;118;78.7244;86;45.1867;358;52.505;801;10.749;303;57.2376;801;9.2265;4;79.6162;27;45.0609;156;95.7177;41;76.7831;798;9.7484;60;67.816;295;49.7679;540;37.5211;120;118.5014;570;124.8027;716;41.7788;11;30.4487;778;50.3491;280;43.0933;166;118.3951;566;0.0965;7;78.0047
234;56.165;27;78.3287;244;56.096;71;31.6585;70;33.9561;142;68.8372;775;53.5219;56;67.9534;736;31.2432;677;45.8764;784;55.1015;187;111.4627;208;19.3252;73;56.7733;84;52.3596;741;58.2746;13;83.3421;14;50.0;259;49.2897;93;76.047;40;46.2829;67;41.0954;22;77.9065;516;62.3761;160;129.0583;117;36.5329;801;47.6977;83;115.5678;365;34.7599;801;46.2729;2;11.6058;801;45.6317;99;41.297;177;116.9856;59;8.0607;44;74.6178
196;50.1815;1;0.101;28;54.2454;355;111.6478;34;53.7979;164;65.6172;801;53.8157;191;52.6113;559;50.8769;801;42.1539;721;34.5356;255;65.2589;152;54.5125;127;78.1578;218;46.9673;721;31.0536;792;54.6347;113;31.5036;340;2.6423;481;75.311;344;53.6778;114;71.0043;24;79.5567;774;17.4905;242;1.0678;717;47.7168;798;45.6029;94;170.7283;122;66.5679;801;39.6618;1;2.3207;801;39.4775;81;50.7422;130;115.3805;308;50.0;248;75.8856
150;52.7704;211;39.0742;13;10.483;526;45.7995;173;55.6766;49;54.1257;801;35.0355;154;16.6429;801;38.8192;801;44.6954;792;26.9045;573;25.2975;142;63.2526;11;80.5701;216;43.9473;693;25.8805;800;26.5296;272;50.3946;801;30.0268;47;78.6703;121;51.6266;21;53.9782;41;80.3855;801;16.3192;520;35.0338;801;27.4193;801;34.0714;43;114.5747;104;75.4592;635;44.9971;13;11.3799;801;37.6468;113;47.0191;634;27.0598;375;67.0376;555;49.7526
310;218.3423;24;56.1648;534;40.3039;215;2.8942;195;22.6634;77;62.9724;777;36.928;45;54.1621;801;18.5637;446;46.7248;801;21.2145;28;8.688;382;12.5337;522;47.624;162;46.5911;726;45.3909;260;27.0812;190;51.0246;451;57.3618;9;80.5618;96;50.9511;74;0.0;65;79.7948;747;4.8043;303;14.8288;756;56.6111;801;46.9191;133;114.4585;335;110.7458;801;45.0853;26;2.7229;767;50.4661;267;50.917;94;66.6116;365;110.7667;34;75.0628
94;50.0;59;57.7977;41;1.198;37;0.8303;158;51.9055;344;65.8749;801;25.3504;102;78.6934;801;43.3273;801;49.2441;787;38.2131;470;48.6951;157;52.0157;60;80.3411;137;42.7507;800;63.7009;799;11.4377;500;45.9145;207;67.5909;68;74.677;176;44.9818;32;118.5962;8;73.3288;776;54.8254;111;5.3577;801;49.3059;801;48.6284;47;6.6273;151;118.8112;587;45.3328;35;22.6482;748;49.0003;137;54.4161;214;60.6739;219;9.4864;54;77.0727
517;33.5559;26;60.5002;405;40.7744;31;0.0593;71;53.9827;206;66.1714;651;48.6918;236;79.2913;769;53.3109;801;40.4256;797;69.9176;127;54.8976;284;51.2749;52;78.9567;19;46.1467;800;33.8463;750;68.7041;56;63.1082;768;3.9631;25;80.1541;50;49.236;49;69.0412;11;81.3426;622;22.7927;66;0.2263;801;17.83;801;44.6393;90;71.397;313;77.886;801;43.527;3;57.0408;801;37.8659;89;40.3866;112;121.0589;136;60.336;94;72.8477
240;56.8241;12;83.4171;133;44.2095;254;0.8947;387;50.402;226;118.7132;801;35.0309;458;55.2768;801;45.675;801;41.665;427;51.8701;96;22.0373;46;29.7766;29;78.3992;166;53.7929;801;45.3867;796;23.7846;210;62.1728;796;69.9106;160;77.3008;84;61.7753;6;50.0;14;69.0936;798;32.9426;127;53.6219;531;50.8452;801;40.2084;86;69.0254;63;70.3877;801;42.3767;8;46.4441;801;44.45;158;50.0948;330;122.3704;87;33.6861;256;70.2154
482;60.8326;28;55.9181;801;52.9768;375;25.0016;576;48.884;496;56.6116;266;58.3764;164;60.8649;714;54.6104;801;31.4084;500;32.649;25;70.9241;17;0.1346;157;77.1864;194;53.3972;343;52.2296;795;25.5533;203;80.652;755;24.5502;260;75.1028;25;46.7589;20;9.2374;3;78.9395;630;39.8383;92;2.2783;801;45.5228;476;45.8193;21;50.0;517;52.7344;801;46.8321;41;44.2973;678;41.9056;38;53.9735;59;121.7637;252;20.9785;111;76.7746
567;27.8192;91;66.6656;15;0.6489;117;50.0;319;44.7568;224;66.1172;801;44.0716;127;53.6472;801;19.8104;801;45.4393;708;41.2391;358;33.6154;146;2.0823;41;54.3544;322;54.2212;755;58.736;620;49.0619;109;51.8568;411;19.675;28;80.4827;13;44.2253;3;50.0;4;79.6594;716;57.7749;685;36.8559;768;34.5387;251;46.2239;35;65.4621;8;50.0;796;44.836;14;65.5775;801;37.883;18;54.949;361;121.0932;54;3.5722;39;52.9031
785;58.1159;226;1.5839;8;28.6942;64;5.2889;795;51.2871;228;63.8128;735;52.6231;100;51.3277;801;40.8691;801;33.2578;677;23.5022;201;58.8004;78;4.1794;75;78.5106;160;47.9064;801;28.6946;744;28.3082;250;33.1765;800;19.674;40;77.2568;50;64.8511;13;59.2245;1;75.757;709;30.1518;268;10.3694;535;47.9776;801;39.2701;35;114.7513;263;56.026;801;38.2532;45;63.8244;801;44.749;193;48.2547;58;50.0903;113;53.3087;76;67.0473
306;124.2151;33;45.3956;24;1.4912;221;114.4694;130;45.044;133;116.9096;795;28.0613;397;63.6609;799;49.8944;405;46.2681;747;47.3834;623;27.1537;724;11.1338;136;74.818;314;51.791;449;66.9203;801;25.2214;131;52.1476;786;18.5222;31;80.9234;30;51.7312;5;50.0;17;79.1012;772;38.2896;282;12.2105;741;41.6526;801;38.9971;199;116.0103;204;72.3747;801;38.9681;11;59.8567;712;45.3188;243;34.8298;37;52.6447;290;220.4692;389;50.2277
219;65.676;24;80.3399;26;11.7418;460;66.9226;128;51.3896;249;87.2995;777;22.9872;171;78.0986;215;43.9022;801;38.0633;493;54.9891;304;64.4109;629;50.4217;78;74.957;71;61.4058;800;9.4577;407;21.0241;116;62.5254;365;42.7619;18;76.6664;83;53.8905;5;50.0;16;80.1508;767;30.4935;123;166.2226;801;49.4587;801;32.1966;25;5.6008;154;133.1278;801;48.821;8;11.6142;495;35.5376;76;23.6149;130;51.8083;88;2.7991;252;78.0335
58;50.0;155;78.2879;54;34.0791;288;35.6597;183;54.0812;460;81.2858;637;48.5186;145;54.0134;801;42.4035;640;44.2391;437;53.8418;279;34.3861;53;0.0891;54;77.2961;89;48.8036;798;16.7591;800;15.3757;216;110.2953;431;2.5462;17;78.791;171;51.2999;152;67.0393;15;73.4882;696;6.9319;512;20.1538;791;47.2465;779;47.4271;26;66.12;180;64.2732;329;43.9386;2;7.7897;801;35.162;56;60.3737;188;115.9823;358;60.6367;62;78.2511
595;87.9264;38;75.4836;58;31.0281;342;0.7619;469;50.5345;22;50.4804;672;37.8195;152;79.4778;801;42.8119;801;29.3794;748;12.5889;172;113.7244;256;53.9399;100;75.6056;211;51.0454;801;35.6247;306;57.7189;20;79.1846;739;30.9174;42;82.3846;48;52.4076;21;0.8357;7;78.1615;801;42.3579;252;46.5532;801;50.3744;204;45.2825;48;50.2423;38;56.6957;727;44.7832;9;13.0286;801;41.4501;153;50.0014;401;119.1567;648;37.1633;102;79.1339
185;81.0557;321;38.7468;27;4.5477;427;15.6411;42;54.9085;366;7.5951;777;25.6675;95;72.8832;801;41.6407;223;42.1449;616;33.6629;83;53.2774;516;1.9011;36;52.4228;288;51.9976;781;39.3146;382;2.9379;224;71.9927;754;7.3193;40;79.5134;275;52.8337;32;67.6118;29;80.9517;303;2.4298;67;0.236;528;41.9443;35;47.9581;81;68.0049;237;70.6231;801;44.8485;10;12.5027;801;46.5279;358;46.7093;89;122.9136;101;0.1248;40;78.2663
386;33.2823;21;2.0393;29;4.4688;328;6.7949;157;45.3893;242;72.9935;800;34.8429;170;42.5041;801;18.4279;801;42.3155;547;60.7986;78;62.0604;42;0.0747;18;77.8172;344;41.3615;766;42.7304;801;24.3852;661;37.9364;477;13.3589;48;78.6974;38;48.7334;61;114.7818;4;42.1591;796;18.3202;348;55.0067;360;32.5093;768;49.2649;35;111.5471;313;44.0162;801;40.7934;14;37.2604;801;36.8563;81;56.1542;242;107.8322;122;7.2359;56;78.3883
136;104.4014;37;15.5361;36;21.9332;798;19.2426;250;32.3614;212;18.1049;801;38.3137;58;55.2602;671;41.982;801;43.4191;801;57.791;9;50.1183;324;3.3561;36;80.1125;431;36.729;240;5.5885;791;42.3403;201;59.4045;787;20.3277;143;74.0694;18;37.4579;27;60.9264;6;80.7535;497;2.8108;188;32.9965;782;46.4596;801;48.2207;110;109.4029;242;66.4123;801;47.0485;21;11.508;801;40.8673;166;54.3946;10;50.9191;587;27.6126;32;80.831
526;81.0061;417;54.4337;93;55.7839;409;4.2626;86;54.0875;222;56.8241;296;38.5427;61;78.8391;609;53.396;801;39.9251;116;50.0;57;21.2722;180;63.7081;502;49.3095;739;53.3545;753;31.3898;274;54.3027;246;81.5981;307;4.4562;6;77.6872;99;42.0919;97;60.64;27;74.01;483;5.5504;12;18.1546;801;35.6517;345;44.9617;59;83.8021;581;52.9607;801;42.3403;37;28.0856;783;41.7261;140;57.1878;237;123.7185;334;67.7064;399;78.7998
470;60.7901;129;54.8969;65;2.0022;164;59.5078;269;54.9131;233;63.8091;279;51.9017;184;48.4308;801;42.7091;801;49.2078;492;64.4925;102;68.3823;91;2.3477;127;74.5126;478;50.7086;500;13.6435;801;79.3016;60;50.0;672;8.9835;73;78.1726;5;55.7641;37;50.2447;39;78.6147;621;62.5039;56;53.0443;801;38.4277;311;51.8991;46;70.8158;326;21.7793;801;46.4326;89;9.8146;801;38.8341;30;23.6127;447;53.0446;320;22.5011;28;78.7527
52;50.118;195;50.0216;304;52.8169;129;63.844;214;51.1488;469;80.33;761;47.8232;248;46.9795;730;46.3265;801;44.4025;801;42.2168;69;66.7471;52;48.0733;84;76.3028;36;49.096;797;24.7245;148;50.5908;409;41.9945;785;30.7829;161;45.3847;289;47.6325;73;66.477;48;78.3447;689;1.0628;183;64.5206;304;55.2855;801;49.0069;46;14.3554;458;118.7196;798;47.5486;6;12.4542;801;40.4593;75;55.1138;154;10.7455;123;5.3767;80;79.9607
66;162.4546;36;2.872;625;50.9578;764;29.5397;308;56.9183;249;72.4398;801;12.8132;271;54.4343;801;31.9152;801;47.6078;285;12.8582;232;111.5483;98;2.4335;682;80.3587;234;53.8348;791;59.6896;749;13.2359;41;52.3341;152;-1.5184;39;79.1101;49;50.8273;17;2.8296;11;75.6818;801;67.1159;151;19.9562;801;45.2186;257;48.9695;71;112.9413;186;115.4537;801;42.7248;4;9.27;801;42.9847;25;54.9671;20;50.0;113;17.1933;120;78.1349
589;53.2703;15;8.5092;10;60.6827;229;116.1264;218;50.425;63;57.2042;508;24.1491;470;37.8883;624;44.9761;801;44.3534;800;86.7817;116;48.9346;607;31.9986;563;52.6358;243;46.8369;801;35.3073;768;31.7852;73;8.4083;199;0.4778;40;79.9396;310;46.8605;40;51.9993;13;73.9759;770;13.1148;45;58.5626;738;48.7975;801;44.7288;53;5.5488;302;67.1013;801;39.4186;24;13.215;775;34.2165;178;44.2185;115;52.8503;251;67.848;124;80.8198
151;73.5936;744;35.211;125;53.8779;372;55.9467;194;53.0789;265;53.1588;278;57.4217;190;78.8674;415;46.5515;801;45.8232;708;24.355;159;105.0671;30;0.4078;24;79.8748;100;51.76;795;12.9716;439;64.4022;253;117.0047;554;52.0511;28;72.9045;22;41.4161;102;96.8745;8;81.3566;789;25.1243;58;44.0731;789;49.4679;628;52.5692;41;4.9478;487;35.5975;660;50.2319;8;63.0593;801;29.4204;445;42.6512;342;60.8693;142;58.3778;99;48.7052
253;116.6248;8;77.754;41;10.8105;519;14.0674;354;49.0192;123;93.9379;574;48.1105;564;49.6815;801;15.0002;801;46.1018;550;19.0639;58;113.7867;205;45.4545;85;43.0327;301;40.9678;792;38.5297;147;50.0812;478;53.8085;764;60.9443;37;80.2167;68;41.8331;40;112.1606;14;82.2264;801;17.1375;204;35.8931;801;32.7723;298;54.6427;36;118.3676;185;113.7714;776;37.479;13;19.0149;323;34.478;47;55.6656;117;123.2908;274;70.8303;35;79.7974
296;71.0565;22;78.8362;105;67.6028;518;31.8461;307;53.6173;241;62.5871;715;21.1534;346;75.4833;562;41.3539;716;42.8511;795;44.7627;104;52.359;53;65.7083;160;77.4191;208;41.8347;775;45.1545;317;50.8464;397;29.4306;648;35.0927;79;73.3545;61;37.8726;75;61.4213;45;81.3558;773;14.8408;122;111.7485;801;37.8434;801;48.9399;53;126.0201;95;51.7128;801;37.5495;4;10.2962;801;35.2836;8;58.32;159;60.4971;236;261.583;77;78.6158
34;50.4565;32;21.8371;801;13.7027;167;0.4964;435;46.6145;180;62.2884;795;34.3005;148;63.4808;801;48.0746;755;42.9729;801;21.8066;225;111.9015;533;46.2821;342;45.0896;568;50.6918;203;54.2682;801;37.6415;279;65.1549;256;29.897;18;81.5635;47;42.9641;40;0.4997;15;79.8827;566;56.1999;376;113.4334;801;39.531;801;47.124;37;122.8908;33;56.5125;789;41.696;17;10.8321;801;41.5446;278;44.2337;141;62.402;428;3.8288;47;77.2291
354;121.2415;21;81.3159;9;3.292;331;53.6262;62;60.5615;44;9.2254;685;36.6701;52;75.7915;675;41.1447;801;43.3418;792;45.294;102;69.0675;81;107.4368;173;71.6041;195;42.2333;789;31.739;785;20.5295;329;50.0;747;12.0377;79;42.4854;84;48.4087;52;66.4407;8;80.2859;801;27.8076;115;57.5843;801;40.9168;801;48.2537;43;20.7561;45;4.8017;801;37.9504;24;24.2525;801;41.8469;54;53.298;70;69.6517;148;7.8116;219;78.0541
225;91.7451;1;81.8411;191;33.1794;43;1.1363;141;55.608;149;7.289;801;42.5459;428;54.6162;801;42.3235;801;44.1075;789;26.3032;109;7.8015;85;69.4979;283;78.9518;74;44.1608;717;46.6939;801;27.8187;313;66.8911;650;36.8;25;77.1772;100;38.0185;19;50.0;9;80.6033;782;24.3683;574;4.9924;801;24.214;801;42.598;54;121.7918;290;74.3793;801;47.1101;12;57.9593;330;35.9194;34;9.6904;294;40.6807;72;51.1802;43;77.5752
163;52.339;43;78.1084;487;49.3248;133;1.7554;20;49.3783;180;65.1864;374;48.3778;190;51.6659;801;43.7431;801;42.9922;790;43.5182;5;50.0;9;50.2367;91;77.2948;169;42.3902;187;68.9976;798;37.2372;121;50.2964;728;4.7744;122;51.5793;38;44.4304;2;0.0;3;80.9343;221;0.7559;220;7.7056;801;42.1907;801;50.1703;23;67.6745;199;170.0224;720;41.0544;4;12.8014;801;50.0532;88;46.1256;57;50.2238;57;50.3558;92;73.9059
204;122.5143;4;81.9814;134;28.9338;314;112.9209;215;37.868;217;121.436;731;43.2672;143;79.5817;435;50.1192;754;44.783;239;53.4238;386;9.6409;51;5.7195;42;83.4302;86;45.5991;773;30.0286;641;47.2714;446;59.1285;801;28.0785;70;82.5892;54;50.5356;75;61.1336;10;78.6575;798;24.2231;46;51.8061;801;43.3075;801;35.9548;19;76.9173;209;57.2183;801;46.8814;15;45.058;801;46.1368;171;41.4737;94;226.0396;338;67.673;101;77.5491
